TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
68,1047.4679589419793,-1486.868710769564,-216.3093409715798,853.7965891883628,738.9676650935367,-8028.642955672678,-5077.717031499565,-2955.9452821728482
69,1120.9253809442498,-1598.0871708830346,-242.44059948235972,922.0166483763167,793.4508213802293,-8602.6558416415,-5436.4287821978505,-3164.9500810174713
70,1186.6077312767675,-1705.6428162909128,-274.3564857236833,986.514071162047,844.5841177010174,-9140.433858547014,-5772.870907108244,-3357.398655497208
71,1246.8962678841067,-1796.17582593572,-298.74203207502785,1046.2297053031252,894.9014795165687,-9629.539849015875,-6077.59243357601,-3534.178463082736
72,1305.0282464771162,-1874.1363534086154,-317.3359731755524,1100.5974117957367,943.1758278951124,-10071.817884733013,-6351.338035511701,-3695.14113104236
73,1356.0890721067613,-1958.6558617351066,-347.0274900753011,1145.1331067535048,979.0931804245506,-10484.138004709066,-6608.451031557426,-3841.919658986997
74,1401.1826276432707,-2037.9239388648857,-374.2548047132261,1181.1476302476894,1005.8532965087168,-10852.778708139536,-6838.635923387142,-3973.9673054301893
75,1446.2272084492656,-2097.081151189429,-383.13573977294226,1214.6238237266223,1034.186856742613,-11161.826035024238,-7028.5432973201605,-4089.0533481355988
76,1486.0178289527857,-2152.9780721996026,-392.3439573793876,1244.271520920618,1059.4813473581044,-11430.868137442267,-7194.656289456463,-4188.893808798468
77,1514.6637923627118,-2210.754161300498,-410.188251774224,1266.631884852327,1076.5113086304973,-11669.386981744008,-7345.997185579675,-4276.319879005245
78,1538.1816070920952,-2253.552547247477,-421.20071074464624,1284.6934752613156,1092.7158669436992,-11862.459803404021,-7469.619529120428,-4350.331969782723
79,1559.387288485366,-2288.115571387922,-432.62727374216854,1299.5218834640168,1108.097410599653,-12018.247615810684,-7570.535013657045,-4410.463770965015
80,1574.3789381381384,-2325.2929120378594,-456.2070374195132,1308.5732224916019,1116.3590865179895,-12150.190604458348,-7659.52020235488,-4458.600816879618
81,1587.3741796395193,-2346.6867577136445,-472.43172907581834,1315.5520588010518,1124.348604822977,-12240.069040865135,-7721.384690536399,-4493.5911184434335
82,1602.1468010422927,-2348.5911355504463,-474.6268873367477,1324.4388564793398,1136.9492536445055,-12282.065510171571,-7750.355350456331,-4512.9240950096055
83,1610.7983486892822,-2353.285369432339,-483.09017577405893,1330.6135526977835,1143.9122723640448,-12297.031969386671,-7764.093137098403,-4517.295266346794
84,1610.0553874083648,-2357.8143542121325,-493.1692496417245,1331.1181893783034,1142.6082439417619,-12280.196727590595,-7759.822293874495,-4507.151058882535
85,1605.4773263748793,-2347.57044260324,-489.24056704445337,1328.8450610933369,1140.7384746747364,-12216.916924024541,-7724.129117447044,-4482.213506749118
86,1595.097893169423,-2335.3527760061015,-486.8553188790356,1322.3439934871503,1134.8969052164884,-12126.119809613621,-7670.247639482396,-4446.453144942102
87,1575.2864010457333,-2325.5184712406935,-494.88629076228005,1308.9493101994763,1121.0856544230078,-12020.506489770614,-7607.59087955384,-4404.670737378815
88,1552.7434878526897,-2300.021250113635,-496.55393298230194,1292.3520657842555,1108.3143812799922,-11885.661383958864,-7523.253582048594,-4356.640046646505
89,1530.76889393808,-2265.7807932713304,-496.44135965507303,1273.8362978901664,1097.6760023368806,-11726.909232937234,-7421.184997918449,-4300.653935235812
90,1504.0855594085194,-2240.5595282893837,-508.3596506013311,1249.0461917861094,1079.099527254077,-11557.186904817676,-7314.202753964568,-4236.385835489933
91,1474.657873970712,-2209.3440495759105,-512.3898499206587,1219.0922340672353,1054.6779077085973,-11354.863401867653,-7186.895872716854,-4161.899840840527
92,1446.9288014999186,-2160.8881687898383,-495.09927271656284,1189.0924507961324,1030.9722501655674,-11106.56003791764,-7027.966469962432,-4075.6189763317097
93,1414.661232802231,-2112.715485131595,-478.02254096317887,1158.6952564754038,1002.4245356286298,-10836.503806874134,-6856.131755063083,-3979.92205748153
94,1374.8504626844344,-2064.7363209515916,-466.4208317870917,1127.7462836140976,969.0557438863295,-10552.925460203955,-6677.523559402618,-3876.948620418223
95,1334.606844272479,-2002.5114032388676,-447.60921740011094,1100.561580021061,941.5507514020837,-10245.653801189,-6482.049602998986,-3766.0670993627546
96,1293.9682028178731,-1939.068632126482,-434.3472369283543,1075.504081080568,917.4815223654402,-9929.96361221647,-6280.685975855408,-3648.457440782298
97,1248.3176300529403,-1883.5136892263956,-433.9177562702617,1045.834844750925,887.4211568461691,-9614.114572000435,-6081.206725490549,-3526.785549266915
98,1202.0759039708855,-1816.5908297879353,-424.3970963017582,1011.515663892449,855.8032095572969,-9275.992640636607,-5866.069046592216,-3400.8474158360286
99,1157.1974953474132,-1740.1861452977587,-407.2795702354206,974.2131728763793,824.9889478747848,-8917.980152314889,-5636.008514917346,-3270.136601187013
100,1107.3791251537425,-1675.1507264977927,-404.42410230432415,931.133699395324,787.0870498737581,-8563.57053631625,-5410.5251174651185,-3136.304854958109
