TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
34,-3623.1895888982503,290.54174212540954,-860.346079207851,526.0800799507198,-3015.0631299040497,26014.027369781255,42063.57010850716,-4178.839563275687
35,-3541.1166968817515,269.44188776367605,-873.7803740366389,496.71000347430083,-2978.2631084010873,25368.19340801795,41048.85736598749,-4089.3815574150576
36,-3449.7843312703644,243.53052601771606,-887.154173923933,462.85353165726895,-2931.7168799661467,24611.57206768067,39866.49515341886,-3990.779225540114
37,-3342.119049603605,242.12058215005246,-868.6883189708471,444.3467147502697,-2852.571585975017,23777.5600748422,38564.43045320406,-3869.354221609644
38,-3223.400078223255,237.36440163085823,-847.8416125847593,425.2272337439906,-2762.8398705165564,22846.873477296373,37130.9019624951,-3739.196383010472
39,-3100.475800518475,213.43388263934835,-840.777252084449,388.82154583364957,-2683.3920679727808,21818.292386287154,35566.819734325625,-3610.210399425654
40,-2966.083133168945,201.15632302453156,-813.335685137173,356.51148833815864,-2591.9290797199246,20740.324312275676,33920.889941171874,-3460.4808683361634
41,-2819.2207134524688,193.9086773848488,-773.6232495699078,332.7922493871733,-2485.4453990277343,19617.932093967825,32198.408608246475,-3290.892476310466
42,-2669.730658261564,163.7226469314956,-754.9079310080645,298.7497032466627,-2384.4180940468605,18430.620386588234,30379.587358454162,-3125.912414803719
43,-2515.707836383762,135.05339151747484,-733.0022977772517,268.186526855294,-2272.5240019864045,17214.854431639844,28501.51101281048,-2957.167258591168
44,-2351.9727731785456,123.34190407927933,-691.4087361340638,255.49096841687103,-2134.6777365200887,15998.718126186937,26593.104444313485,-2771.6312298451285
45,-2187.055942441477,95.32497060571502,-665.9127012579414,233.96537610094987,-1998.973670979351,14755.662390066405,24630.34054681814,-2588.8707232121296
46,-2023.4031814038815,56.32562746701028,-650.1545120769304,196.29728063493457,-1870.8366753092487,13496.128495567642,22628.576879432083,-2409.1070152480984
47,-1851.6349217498407,40.11453623110125,-606.1653381234072,168.38606916027842,-1725.2207684438695,12259.172419038507,20632.836139451647,-2208.735180082572
48,-1675.2888562284938,24.871993900446594,-557.5537715174174,144.48082889137808,-1575.2037744258419,11023.833641513374,18627.75088211768,-2000.9100380869002
49,-1503.651814763406,-8.689831025821318,-527.141934775216,108.9341876534713,-1439.3602486275631,9771.81376449984,16599.8613833898,-1806.7511355170423
50,-1331.5394221615672,-27.668398006717798,-480.4036804964098,82.28258334008,-1294.8590789516368,8543.601455085392,14593.077427881004,-1608.9773523611527
51,-1157.3512426346147,-33.81433345473497,-419.73097065123125,69.93014687046856,-1139.1294842082377,7344.761462568296,12615.093836211985,-1403.502730312654
52,-991.1371209501111,-59.680892215443606,-382.79003755934093,47.341885630898005,-998.7402491147835,6144.2362521790055,10637.646262382623,-1213.0965025767628
53,-830.8952546658569,-84.51543644164487,-348.9700884103661,19.50928084082168,-862.4854334701064,4965.366889049605,8687.78657607213,-1029.3506480528874
54,-668.1845596824262,-87.13938565033838,-294.42883913530665,2.942928568837697,-710.580190296256,3833.6147656628564,6794.105033121297,-833.87414408886
55,-509.3861896252263,-99.04521354691786,-252.88003068374036,-19.434698790214274,-564.1600036222846,2717.157797702912,4927.714826944146,-644.1481657954619
56,-358.98635290513545,-122.70253230119026,-227.1126581750283,-52.32436981669168,-430.29799361370715,1614.372949308344,3089.8540692337792,-467.1086988293401
57,-208.76022997856796,-126.99930602367627,-181.3405261009477,-71.04041952781067,-286.9394635320149,562.8537892405286,1319.7767342841219,-282.2972486517008
58,-60.02284123516346,-131.32490801941103,-134.92159551488623,-82.11465999046669,-147.31140330946317,-453.66569974342457,-397.09606443146595,-98.8737558876913
59,79.82383515964474,-160.52188628139476,-115.2358460996911,-109.15311465030459,-35.87585471899641,-1460.418093204913,-2082.9406092578374,61.91245880739656
60,217.7582065336015,-183.6222908700342,-88.8401767490819,-136.8142780552031,69.15520703486597,-2423.5609120487375,-3700.5426410829987,217.21529837183732
61,358.2280835698983,-192.7681334431752,-47.61881491627706,-151.16419839472283,183.61518100964244,-3335.0011143220418,-5238.996396521417,378.48152500361005
62,490.83304941299673,-219.20988545881102,-27.1153613133683,-170.3795133695917,288.1572879234623,-4230.1425287553575,-6732.0255601761,526.2016930853115
63,614.1488714451466,-246.7399318048886,-10.68033779857776,-190.61329079550165,390.49008283415014,-5092.449500495812,-8162.864661716472,664.1199147511904
64,735.9420930339917,-250.69665959321475,29.40260205102872,-196.59357932725607,507.68954056527434,-5892.679823280743,-9503.143917140209,808.5435275141988
65,851.5967281025522,-263.1837067477432,60.06976687620498,-213.23319629652613,610.1901110743619,-6659.597855346316,-10782.919321235917,941.981749564354
66,956.4681218080793,-293.7115242326797,71.72171806149538,-255.25725221109707,681.2774407184729,-7399.079435268123,-12008.23359525427,1055.424158179472
67,1058.131833689425,-307.416422978224,101.36624267351488,-292.2449166475116,752.4250309307831,-8072.547642978718,-13139.39814761734,1172.5381670055267
68,1155.468608988548,-313.54114008279765,136.54311469944201,-314.9763922944986,831.7694872408701,-8691.34875144156,-14186.812648865494,1292.1232653163884
69,1239.2111604158063,-335.20151178692333,148.67516485919796,-339.12671710230813,905.7114140441379,-9284.495084199747,-15178.844523790489,1393.6453724853773
70,1314.5473755618111,-343.0316298306049,167.6938182158248,-349.636063505626,993.883770976344,-9825.083456028413,-16087.982021741856,1488.35846799943
71,1389.1629493148666,-327.0927760389361,204.99744310493458,-336.08282504099554,1103.6883580386595,-10304.621112944324,-16905.389119513544,1585.465988255372
72,1456.9778181409486,-323.2616588191782,223.7187299711573,-327.2369918499348,1199.6109008649644,-10760.851118662162,-17668.62643710392,1664.806052973203
73,1517.263029472385,-324.4422671807298,234.7661446897768,-329.6627697191848,1275.0039832933044,-11182.888755450032,-18366.678284499725,1729.7922755387917
74,1577.5837330358095,-302.69322615303975,271.6687290784736,-321.9297666937987,1352.8692354723496,-11536.720396902754,-18965.834746091885,1802.8843237019967
75,1632.3927681727405,-284.65147791863626,306.56861869535845,-316.35555151319534,1418.4572855897813,-11848.585716085436,-19493.399158543252,1870.5980994086985
76,1673.9571437465256,-285.7132609018862,321.1430153539855,-328.15212301511343,1456.5418241669706,-12136.343550493191,-19968.20655613236,1916.7032089588402
77,1710.1257463350448,-271.75924106743804,349.5224878980491,-331.4690637713161,1495.4184731198266,-12367.898636630638,-20358.225994569366,1960.2609202015205
78,1744.5738649584175,-246.45546038255978,385.20246529147914,-320.1030091179734,1540.7618333472876,-12551.092488756942,-20671.435677512047,2004.9434575639889
79,1769.81232120383,-239.82657591625127,394.905178144788,-321.9366728181484,1566.1345811158385,-12718.519375262971,-20941.498260277258,2032.6433641363053
80,1789.1549154258787,-230.5811530341498,403.53111961967033,-331.39251246582523,1582.012400758438,-12845.235860126944,-21144.813065201277,2055.4547697073676
81,1809.182162250598,-204.9042843879086,428.9459582206374,-331.37427098983727,1604.1874570989182,-12914.054602197082,-21265.55489201509,2086.5031757411766
82,1822.0061125951183,-196.19023587621172,435.6568989567422,-339.2773500668064,1609.2915782440816,-12961.397234444383,-21341.091096570708,2102.5449282249106
83,1824.5372960389932,-199.36112425356004,427.85183523734713,-354.8112760849922,1597.677473486996,-12985.451853121089,-21369.772470387572,2098.1276883799974
84,1826.259644673797,-181.58611428709412,441.32241534055174,-352.3362706998513,1598.0783632999178,-12952.471324184171,-21318.734537113432,2097.2430133579146
85,1825.5538453503689,-164.71618010801956,453.6071086573286,-345.042232817592,1596.932710463912,-12884.965967844586,-21212.332503193782,2095.2770499917024
86,1815.1015860897778,-169.17993596820878,442.53354907189487,-356.09103337623645,1572.2932392421194,-12805.651485582417,-21074.570177181413,2078.473036601487
87,1801.4267245778428,-162.58273018108162,442.1793510617108,-364.42755594751833,1548.3699889880052,-12682.94966106111,-20874.256404721502,2064.5077697003535
88,1787.9851717487227,-140.21378897530036,454.9249432756991,-355.0770418622996,1538.7747088392239,-12517.355316674173,-20611.449739847063,2056.493059626337
89,1765.8895097045934,-129.32982938529432,447.07049093089995,-344.7400723680627,1526.177299957786,-12345.394807818153,-20321.599005169526,2030.7826288279734
90,1736.6150115921898,-112.20822679586172,437.5420921380372,-328.95303261236825,1520.2567952391819,-12150.940617919125,-19988.83576846031,1994.6136747745627
91,1708.3274011302442,-74.76590376922425,448.64159241282505,-300.02448135799176,1529.0466474609775,-11912.115335425207,-19595.01012575053,1967.7188036128232
92,1675.0945679363263,-57.02475396196328,445.75165056514845,-289.72439687309287,1513.221646878062,-11661.75413187736,-19178.11809574905,1933.7548541597862
93,1632.3385961362055,-66.46811036688617,424.4822471121949,-311.5054588734531,1455.5918861133973,-11404.251877574308,-18745.13307662702,1884.0351562670085
94,1589.1435122330781,-65.5233882687648,422.8964570348427,-331.96026835862875,1389.8434706086364,-11103.95501954322,-18259.38905391532,1839.9539520766036
95,1546.4299561642147,-59.007577089460355,427.1394644839269,-336.85155921682747,1328.8716783756595,-10777.736198455423,-17734.233971705482,1797.3454317117007
96,1498.1010557718505,-61.289883843113635,412.5649373158604,-332.8108021033945,1268.9265816325283,-10453.3099630689,-17194.294977131292,1739.11426097219
97,1451.4975978952682,-41.93810142885407,411.39799522097815,-304.04629556374675,1232.510374332495,-10100.35422362952,-16610.39380106522,1683.3939125127747
98,1411.3146895591185,-3.6920870161792827,427.4672685776111,-253.95943639871336,1216.0191880054178,-9714.516241057921,-15983.181854267077,1638.6211685056173
99,1366.1396178840741,7.655618430778908,417.4694633484927,-221.9873053694771,1176.072264145966,-9338.342375060838,-15359.941306202883,1579.6375683327692
100,1312.9890335049006,-0.40132693200555636,391.43843300233436,-211.7151848720979,1110.815373708526,-8963.857041215408,-14734.489282459679,1508.2614787151092
101,1259.6091643215427,3.2084539313351286,380.6036980559594,-194.27987642902332,1051.3030452326548,-8563.222786203074,-14078.706522636785,1445.9246187558347
102,1202.1798847059472,1.3370488598289363,360.8621385069175,-173.46432741106588,993.2082777770188,-8161.601184904212,-13417.97804122114,1380.534408278599
103,1137.35319989536,-7.853611113028901,326.34155185041453,-157.57944596987963,932.2272633476477,-7764.152994460137,-12759.164688207753,1303.1176627396558
104,1075.4269300967098,8.04941646999573,313.68683314541954,-128.34898938464113,891.8424502773366,-7334.353587875857,-12067.27210323397,1235.1930004416554
105,1017.7842092021058,32.24471275565872,308.28312296631674,-94.75104024766516,861.6678999985274,-6888.676691259303,-11357.80360679396,1174.167552042104
106,955.7071676605292,31.58581074239146,276.6642535223145,-86.83991579479951,809.1818803638556,-6465.834690288613,-10665.374812656702,1099.1378083571838
107,894.2538794700426,32.41298894035865,250.48326439523373,-92.0175940081443,746.3655719270143,-6041.782788213115,-9961.9096144154,1025.9062014774772
108,839.9130112004492,51.16176904433952,250.1306746999456,-89.15500989916373,688.5937713722807,-5599.970151032187,-9231.301689431491,969.4075114520497
109,783.1460441009954,55.617028738293484,239.33144265726867,-92.36278329759233,614.5849561529644,-5174.66020945386,-8512.671112183645,906.2266959864683
110,720.2809982980518,49.74305375877627,218.7057520446187,-97.318612137772,530.4761664686179,-4761.840737836017,-7807.755230009,830.6557106721133
111,659.4639927833833,60.78410706148818,214.59821052241267,-77.92995137124922,469.6880871233764,-4332.9167209609095,-7091.76724449948,761.7222518653219
112,598.0083055563672,66.68375951008905,200.57030776493292,-49.38831898575118,423.12648638642065,-3913.3218672755083,-6390.844922326077,690.12464872191
113,531.2469800205378,56.77158704046826,164.6367606127896,-35.6767317070336,373.6231335690484,-3516.0064478404843,-5716.755403967498,607.2352983302602
114,468.3054403323425,66.58889733271278,148.10188961469382,-20.939177756160227,340.74789937197636,-3101.7627168936187,-5029.516091537421,537.2566512132419
115,410.8938684894336,87.7952795731405,145.17742747844392,-3.564628587864599,319.6074953478177,-2677.5584050459565,-4336.484122873478,480.3426348119224
116,348.86200988934553,82.38816006730661,115.8352938694122,-5.552877952023543,279.10596062132925,-2284.7121259142086,-3679.679676452786,409.11822575727194
117,285.6066848415396,70.26601412280394,81.56906049158971,-10.284206618433355,232.8224554368758,-1904.802451496458,-3041.070299389353,331.12338682998796
118,230.43948654725614,75.74760645302085,68.58245291084764,7.346984828532,203.4073764800031,-1514.3835993043417,-2397.7540855805555,265.6139977784208
119,177.5125040650132,75.79899355781255,50.76999005608768,29.13393683267891,169.54589298516362,-1140.1290959946239,-1776.9553324591664,199.6396907329387
120,122.56227942964111,74.23927765888037,30.69881156020949,45.53112157145599,124.78769462374031,-778.9964729613729,-1175.6904023498141,131.52503891000686
121,72.23568045444208,96.68571437133201,36.2298226701324,73.25220274084741,91.46188013295404,-401.922230004419,-565.2682204716738,80.35875763804246
122,23.31224732317704,114.73729328412264,37.542068702412095,96.93238910254456,56.053175471261056,-36.91998902268887,25.451553461395918,32.90882324345743
123,-30.856710728277015,104.48955731740423,8.857070559733629,95.50353827578999,-0.15487454763062658,290.123521805496,570.3174113873267,-30.36050105504492
124,-80.74114765805984,102.62910735878866,-9.768922748193795,94.18888756897044,-48.82580109620676,616.7340495217711,1106.8949973855492,-88.89861253754046
125,-120.610143689603,118.34677300949434,-7.626983775559502,106.27012826744732,-78.22968826329664,951.5235636582815,1643.4352766153152,-132.69119182565998
126,-161.1016204835649,119.14384793883755,-19.746031824557093,105.91296402178891,-116.00843396707529,1258.7125301714043,2144.0094877645615,-183.27277201945174
127,-204.44171029993578,115.51256396494064,-33.95271035559636,95.50044041486814,-157.60687259992082,1549.8835454852724,2620.1841634776465,-236.40985372687365
128,-244.56563348297001,122.26560436844635,-32.300268510264814,94.98060795007513,-184.21707508028396,1843.349785669342,3089.412071749849,-276.5820741593053
129,-286.71876839179095,107.4525768889479,-49.50490981165348,90.81558284137942,-214.994630450846,2105.555988538826,3517.4313467691127,-321.8664147974252
130,-332.1297861702894,74.8743675538795,-84.26826178034423,82.42830825706667,-251.56459801176612,2337.5966238857886,3906.1279553551035,-377.7392156031434
131,-368.9193597345793,69.53330092403694,-89.95422942365943,98.9242377443894,-262.0879621505599,2585.215667134168,4302.139710615959,-417.9426498705583
132,-397.92901033671376,80.621506190485,-78.89996046460791,129.73304858164954,-257.1638385084728,2836.29241766827,4693.353972068462,-446.04566176572916
133,-430.7843865194095,77.79602109174593,-84.45600147918765,140.82204292043753,-269.9679159989647,3057.18298289867,5046.41583251486,-484.57289365142566
134,-464.7987954390508,81.02721231040817,-84.22094126036885,140.09586030016038,-290.4067196648248,3268.490664900738,5382.394315522471,-521.8895507924653
135,-494.345647913177,92.40890086328699,-74.04815584004486,140.11864769045914,-310.35776399208737,3473.4541523772523,5704.247154451505,-548.9235007661615
136,-524.5020824801641,80.25958872816753,-88.00242620364162,127.01628322491766,-350.0391052670398,3638.644506417469,5978.292724053053,-584.090006637428
137,-551.963877678302,63.66999389700328,-106.26313492403982,113.30481303783935,-395.0305433583281,3784.3530585633125,6224.996525634443,-620.0955426466701
138,-567.3899291796845,73.58703842400713,-95.4410665688538,124.85362238256621,-415.6525007848246,3944.5525060734344,6478.0876496832825,-635.4963014057087
139,-577.8060167663969,80.08705327873604,-89.1524535082131,143.41884802141914,-430.2831490402102,4086.579330316881,6704.879143252598,-648.1389206570793
140,-591.7441978592769,67.61590573333008,-105.96869134151845,149.29332703207075,-455.93157909947456,4191.621409322058,6887.229864386982,-673.4488312892634
